Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,78.720001,79.470001,78.500000,78.910004,70.530853,6878000
2014-01-03,78.809998,79.129997,78.519997,78.650002,70.298462,4957400
2014-01-06,78.860001,78.910004,77.790001,78.209999,69.905159,7280200
2014-01-07,78.169998,78.849998,77.919998,78.449997,70.119690,5012300
2014-01-08,78.500000,78.510002,77.599998,77.830002,69.565521,5955200
2014-01-09,78.389999,78.400002,77.489998,78.089996,69.797913,5916300
2014-01-10,78.309998,78.720001,77.540001,78.040001,69.753242,5181300
2014-01-13,77.599998,77.970001,77.239998,77.489998,69.261612,6157900
2014-01-14,77.459999,78.000000,77.379997,77.959999,69.681725,4088200
2014-01-15,77.959999,78.099998,77.570000,77.660004,69.413589,4992400
2014-01-16,77.389999,77.470001,76.349998,76.760002,68.609146,7201500
2014-01-17,76.730003,76.820000,76.029999,76.190002,68.099655,11440700
2014-01-21,76.250000,76.389999,74.860001,75.839996,67.786835,8971100
2014-01-22,76.080002,76.080002,75.029999,75.349998,67.348862,5853700
2014-01-23,74.839996,75.120003,74.470001,74.959999,67.000275,6006300
2014-01-24,74.730003,75.120003,74.230003,74.419998,66.517616,9332800
2014-01-27,74.129997,74.370003,73.830002,74.150002,66.276276,9088700
2014-01-28,74.260002,75.400002,74.099998,74.669998,66.741081,6023400
2014-01-29,75.290001,75.370003,74.070000,74.099998,66.231590,8433700
2014-01-30,74.540001,75.089996,74.360001,74.750000,66.812592,6732900
2014-01-31,73.919998,75.190002,73.639999,74.680000,66.750000,10544800
2014-02-03,74.190002,74.500000,72.540001,72.660004,64.944511,10430700
2014-02-04,72.669998,73.099998,72.300003,72.730003,65.007080,7755500
2014-02-05,72.269997,73.160004,72.269997,72.870003,65.132202,4774300
2014-02-06,72.970001,73.209999,72.500000,72.820000,65.087517,7353100
2014-02-07,73.050003,73.800003,72.500000,73.750000,65.918755,7287600
2014-02-10,73.589996,73.760002,72.959999,73.760002,65.927719,6204100
2014-02-11,73.900002,74.849998,73.669998,74.800003,66.857277,6511200
2014-02-12,74.220001,75.180000,74.220001,74.959999,67.000275,5339800
2014-02-13,74.680000,75.489998,74.559998,75.360001,67.357796,5250200
2014-02-14,75.400002,75.989998,75.099998,75.790001,67.742149,4908900
2014-02-18,75.489998,75.650002,74.860001,75.330002,67.330994,5993800
2014-02-19,75.010002,75.320000,74.410004,74.849998,66.901955,8130300
2014-02-20,73.050003,74.000000,72.809998,73.519997,65.713188,13079100
2014-02-21,73.190002,73.400002,72.820000,73.120003,65.355659,8971000
2014-02-24,73.239998,73.820000,73.139999,73.349998,65.561241,7321500
2014-02-25,73.180000,73.739998,73.089996,73.349998,65.561241,9482700
2014-02-26,73.940002,75.099998,73.790001,74.779999,66.839386,9022200
2014-02-27,74.779999,74.779999,74.089996,74.559998,66.642746,5448200
2014-02-28,74.480003,75.190002,74.199997,74.699997,66.767876,7444600
2014-03-03,74.489998,74.669998,73.830002,74.120003,66.249481,5347600
2014-03-04,74.769997,75.489998,74.660004,75.129997,67.152229,7543800
2014-03-05,75.320000,75.330002,74.580002,74.800003,66.857277,5524800
2014-03-06,74.860001,75.110001,74.510002,74.879997,66.928764,5106600
2014-03-07,74.959999,74.959999,74.360001,74.580002,67.090706,5054600
2014-03-10,74.519997,74.599998,74.050003,74.430000,66.955772,4827000
2014-03-11,74.720001,74.970001,74.199997,74.919998,67.396538,9005600
2014-03-12,74.849998,75.750000,74.820000,75.529999,67.945305,8627600
2014-03-13,75.709999,76.180000,74.910004,74.930000,67.405556,5824500
2014-03-14,74.669998,75.070000,74.269997,74.279999,66.820808,6619000
2014-03-17,74.300003,74.849998,74.010002,74.680000,67.180649,5780400
2014-03-18,74.660004,74.989998,74.449997,74.769997,67.261627,3943800
2014-03-19,74.559998,75.110001,74.019997,74.379997,66.910759,5761100
2014-03-20,74.019997,75.680000,73.860001,75.379997,67.810356,8637500
2014-03-21,75.889999,77.019997,75.449997,76.099998,68.458061,17160200
2014-03-24,76.209999,76.800003,76.110001,76.760002,69.051788,7279500
2014-03-25,76.879997,77.139999,76.160004,76.870003,69.150726,7382200
2014-03-26,77.080002,77.529999,76.230003,76.230003,68.575012,7727800
2014-03-27,76.379997,76.820000,76.040001,76.139999,68.494041,5596600
2014-03-28,76.260002,76.599998,75.769997,76.010002,68.377098,5871100
2014-03-31,76.349998,76.779999,76.019997,76.430000,68.754921,4695600
2014-04-01,76.760002,77.250000,76.540001,76.769997,69.060760,5770000
2014-04-02,76.580002,77.190002,76.339996,77.180000,69.429611,6078100
2014-04-03,77.199997,77.550003,77.000000,77.459999,69.681480,6040500
2014-04-04,77.580002,77.900002,77.250000,77.309998,69.546547,6760200
2014-04-07,77.230003,77.720001,77.089996,77.309998,69.546547,7675700
2014-04-08,77.089996,78.309998,76.800003,78.180000,70.329170,7498700
2014-04-09,78.199997,78.220001,77.279999,77.970001,70.140266,6877800
2014-04-10,77.949997,78.139999,76.650002,76.889999,69.168747,7599600
2014-04-11,76.779999,77.230003,76.290001,76.500000,68.817894,7979000
2014-04-14,76.940002,77.550003,76.790001,77.379997,69.609528,5375900
2014-04-15,77.029999,77.309998,76.440002,76.879997,69.159729,6928600
2014-04-16,77.309998,77.470001,77.029999,77.220001,69.465599,5036800
2014-04-17,77.080002,77.750000,77.080002,77.660004,69.861404,6964700
2014-04-21,77.410004,77.730003,77.180000,77.599998,69.807419,4595100
2014-04-22,77.519997,77.830002,77.389999,77.559998,69.771439,6465500
