Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,138.050003,139.000000,137.610001,138.130005,124.301926,3052100
2014-01-03,138.369995,138.880005,138.029999,138.449997,124.589874,2133300
2014-01-06,138.750000,139.289993,137.479996,137.630005,123.851952,2712100
2014-01-07,137.449997,138.199997,137.130005,137.649994,123.869934,2525500
2014-01-08,137.479996,137.750000,136.339996,136.630005,122.952057,3122700
2014-01-09,137.020004,137.429993,136.199997,136.449997,122.790062,2539900
2014-01-10,136.949997,137.190002,135.679993,136.179993,122.547096,3254300
2014-01-13,135.809998,137.059998,134.570007,134.679993,121.197243,2633400
2014-01-14,135.110001,137.410004,134.740005,137.410004,123.653969,2479700
2014-01-15,137.770004,138.820007,137.559998,138.440002,124.580849,3025900
2014-01-16,137.740005,138.500000,137.630005,138.160004,124.328873,1792700
2014-01-17,137.979996,138.750000,136.979996,137.309998,123.563995,2327900
2014-01-21,138.449997,138.949997,136.300003,136.990005,123.276047,2705700
2014-01-22,137.350006,137.490005,136.330002,136.479996,122.817078,2118800
2014-01-23,135.639999,135.660004,133.949997,134.710007,121.224266,2720300
2014-01-24,133.729996,133.729996,130.220001,130.220001,117.183762,3776100
2014-01-27,130.020004,130.589996,128.660004,128.960007,116.049904,3312800
2014-01-28,129.429993,130.009995,129.100006,129.809998,116.814789,2734200
2014-01-29,130.100006,131.270004,129.000000,130.250000,117.210770,3584000
2014-01-30,129.960007,129.960007,126.529999,128.050003,115.230995,4102600
2014-01-31,126.599998,129.199997,126.419998,128.190002,115.356987,3715400
2014-02-03,128.220001,128.589996,123.610001,123.900002,111.496468,4245100
2014-02-04,126.089996,127.639999,124.120003,126.720001,114.034149,7412500
2014-02-05,128.009995,128.759995,125.919998,127.360001,114.610077,4960000
2014-02-06,127.599998,129.199997,127.099998,128.899994,115.995895,3828400
2014-02-07,129.570007,130.389999,128.809998,130.330002,117.282745,3263200
2014-02-10,129.649994,130.410004,129.020004,129.699997,116.715820,3317400
2014-02-11,129.699997,131.490005,129.649994,130.979996,117.867676,2604000
2014-02-12,130.339996,131.000000,130.009995,130.440002,118.153015,2100600
2014-02-13,129.289993,130.380005,128.660004,130.139999,117.881271,2850600
2014-02-14,129.770004,132.190002,129.500000,132.119995,119.674751,3030000
2014-02-18,132.309998,132.750000,131.639999,131.800003,119.384903,2876500
2014-02-19,131.330002,132.710007,130.460007,130.559998,118.261696,2719400
2014-02-20,130.649994,132.029999,130.050003,131.559998,119.167519,2155800
2014-02-21,131.559998,132.330002,131.300003,131.570007,119.176559,2574300
2014-02-24,131.889999,133.460007,131.440002,132.199997,119.747238,2454300
2014-02-25,132.270004,133.429993,131.860001,132.929993,120.408447,2863100
2014-02-26,133.130005,133.460007,132.279999,132.860001,120.345055,2771100
2014-02-27,132.630005,134.580002,132.000000,134.339996,121.685646,3124000
2014-02-28,134.190002,135.199997,133.919998,134.729996,122.038879,3179400
2014-03-03,133.070007,133.809998,131.669998,132.210007,119.756294,2814400
2014-03-04,131.919998,133.080002,131.580002,132.679993,120.181992,6975500
2014-03-05,132.660004,134.029999,132.190002,133.850006,121.241806,3551400
2014-03-06,134.369995,134.740005,134.020004,134.080002,121.450134,2236800
2014-03-07,134.880005,135.000000,133.710007,134.110001,121.477303,2381400
2014-03-10,133.979996,134.080002,133.100006,133.559998,120.979126,1966100
2014-03-11,133.729996,133.839996,132.229996,132.509995,120.028015,1928900
2014-03-12,132.070007,132.759995,131.589996,132.570007,120.082390,2637000
2014-03-13,133.190002,133.669998,130.639999,130.809998,118.488167,2520700
2014-03-14,130.080002,131.110001,129.699997,129.830002,117.600464,2975100
2014-03-17,130.660004,132.690002,130.660004,132.270004,119.810631,2529400
2014-03-18,132.490005,133.229996,132.250000,132.740005,120.236351,2032800
2014-03-19,132.750000,132.850006,130.580002,131.229996,118.868568,2141000
2014-03-20,131.149994,132.850006,130.860001,132.429993,119.955551,2577500
2014-03-21,133.580002,134.240005,132.899994,133.119995,120.580559,5920400
2014-03-24,133.320007,133.699997,131.880005,132.419998,119.946487,2793600
2014-03-25,133.660004,134.529999,132.899994,134.059998,121.432014,2897600
2014-03-26,134.660004,134.889999,133.089996,133.089996,120.553391,2318900
2014-03-27,132.820007,133.490005,132.179993,132.839996,120.326927,2402500
2014-03-28,133.580002,134.970001,133.179993,134.199997,121.558823,1906500
2014-03-31,134.610001,135.869995,134.580002,135.660004,122.881310,2711800
2014-04-01,135.880005,136.649994,135.669998,136.529999,123.669319,2370800
2014-04-02,135.990005,136.250000,135.330002,136.000000,123.189262,3281400
2014-04-03,136.220001,137.190002,135.699997,136.139999,123.316109,2676200
2014-04-04,136.899994,137.770004,135.770004,135.860001,123.062462,2735300
2014-04-07,135.809998,136.250000,134.389999,134.399994,121.739983,2807500
2014-04-08,134.440002,135.149994,133.429993,134.839996,122.138535,2893600
2014-04-09,135.000000,135.869995,134.500000,135.839996,123.044350,2671900
2014-04-10,135.729996,136.429993,133.899994,133.970001,121.350502,2857200
2014-04-11,133.369995,133.839996,132.389999,132.389999,119.919334,2368200
2014-04-14,133.449997,133.520004,132.020004,133.149994,120.607719,2058100
2014-04-15,133.270004,134.350006,132.020004,134.089996,121.459183,2119000
2014-04-16,135.169998,136.779999,134.809998,136.770004,123.886757,2135200
2014-04-17,137.300003,138.250000,137.250000,137.729996,124.756317,2645600
2014-04-21,137.250000,138.710007,137.179993,138.619995,125.562477,1781100
2014-04-22,138.500000,139.520004,138.130005,138.889999,125.807014,2252500
2014-04-23,138.809998,138.889999,137.889999,137.990005,124.991844,2847500
2014-04-24,136.380005,136.990005,135.000000,136.649994,123.778030,2847800
2014-04-25,136.500000,136.960007,135.690002,136.559998,123.696518,2093100
2014-04-28,137.429993,138.350006,135.970001,137.229996,124.303398,2244300
2014-04-29,137.869995,137.899994,136.559998,137.550003,124.593262,1820900
2014-04-30,137.630005,139.199997,137.330002,139.089996,125.988197,2904000
2014-05-01,139.500000,141.490005,139.119995,140.809998,127.546196,3997400
2014-05-02,141.630005,141.830002,139.869995,140.119995,126.921150,5758500
2014-05-05,139.139999,141.050003,138.649994,140.610001,127.365013,2710900
2014-05-06,140.279999,140.429993,139.169998,139.289993,126.169373,2299700
2014-05-07,139.979996,141.250000,139.179993,141.139999,127.845108,2238500
2014-05-08,140.880005,142.119995,140.509995,140.830002,127.564301,1939400
2014-05-09,140.559998,141.369995,140.250000,141.339996,128.026291,2093000
2014-05-12,141.779999,142.940002,141.710007,142.820007,129.366852,2972100
2014-05-13,143.000000,143.369995,142.320007,142.429993,129.013550,1695400
2014-05-14,142.479996,142.770004,141.410004,141.600006,128.261780,2113400
2014-05-15,141.559998,141.740005,140.020004,140.979996,127.700218,2388400
2014-05-16,140.929993,141.199997,139.910004,141.130005,127.836029,1901700
2014-05-19,140.070007,142.000000,139.979996,141.669998,128.325165,1529200
2014-05-20,141.600006,141.899994,139.889999,140.229996,127.020813,1845100
2014-05-21,139.770004,140.789993,139.770004,140.660004,128.191940,1641000
2014-05-22,140.710007,140.960007,140.259995,140.309998,127.872955,1550100
2014-05-23,140.229996,141.179993,140.050003,141.139999,128.629379,1209400
2014-05-27,141.500000,141.600006,141.130005,141.440002,128.902802,1512300
2014-05-28,141.809998,141.899994,141.059998,141.429993,128.893646,1566100
2014-05-29,141.500000,142.429993,141.190002,142.389999,129.768600,1624100
2014-05-30,142.110001,142.669998,141.779999,142.550003,129.914398,3908500
2014-06-02,142.270004,142.910004,141.690002,142.320007,129.704773,1682300
2014-06-03,142.080002,143.130005,141.610001,142.889999,130.224243,2061700
2014-06-04,142.910004,143.000000,142.259995,142.259995,129.650101,1335700
2014-06-05,142.759995,143.740005,141.899994,143.710007,130.971573,1542300
2014-06-06,143.990005,144.639999,143.529999,144.639999,131.819153,1768700
2014-06-09,144.639999,145.529999,144.610001,145.320007,132.438858,1800900
2014-06-10,144.970001,145.210007,144.460007,144.970001,132.119873,1700000
2014-06-11,144.660004,144.970001,144.190002,144.410004,131.609528,1489900
2014-06-12,144.949997,144.949997,142.779999,143.070007,130.388321,1839400
2014-06-13,143.190002,143.750000,142.830002,143.360001,130.652588,1376200
2014-06-16,142.929993,143.529999,142.600006,143.320007,130.616119,1274300
2014-06-17,143.009995,143.990005,142.639999,143.690002,130.953369,1209400
2014-06-18,143.929993,144.389999,142.770004,144.330002,131.536606,1340700
2014-06-19,144.529999,144.720001,143.990005,144.490005,131.682404,1560500
2014-06-20,144.539993,145.300003,144.199997,145.160004,132.293045,4204600
2014-06-23,145.100006,145.300003,144.009995,144.089996,131.317886,1390200
2014-06-24,143.710007,144.619995,143.050003,143.089996,130.406540,1404500
2014-06-25,143.000000,144.380005,142.880005,143.649994,130.916901,1321800
2014-06-26,143.750000,143.990005,142.559998,143.729996,130.989807,1490900
2014-06-27,143.169998,144.070007,143.059998,143.690002,130.953369,1981800
2014-06-30,143.919998,143.929993,143.059998,143.240005,130.543259,1878400
2014-07-01,143.410004,144.820007,143.380005,144.559998,131.746201,1767600
2014-07-02,144.229996,145.300003,143.559998,145.229996,132.356812,1621300
2014-07-03,145.250000,145.729996,145.000000,145.410004,132.520889,1142200
2014-07-07,145.479996,145.580002,144.500000,144.910004,132.065201,1257900
2014-07-08,145.220001,145.399994,144.479996,144.559998,131.746201,1596700
2014-07-09,144.779999,145.039993,144.029999,144.679993,131.855576,1521800
2014-07-10,143.500000,144.199997,143.240005,143.889999,131.135635,2070100
2014-07-11,144.139999,144.490005,143.539993,144.309998,131.518402,1907900
2014-07-14,144.990005,145.710007,144.750000,145.000000,132.147232,2114600
2014-07-15,145.000000,145.479996,144.360001,145.059998,132.201920,1955700
2014-07-16,145.279999,146.250000,145.029999,146.169998,133.213516,1969200
2014-07-17,145.330002,145.669998,143.449997,143.539993,130.816589,2776500
2014-07-18,143.830002,145.059998,143.539993,144.830002,131.992264,2133000
2014-07-21,144.660004,144.869995,143.649994,144.300003,131.509293,1520900
2014-07-22,144.889999,145.669998,144.889999,145.119995,132.256561,1608200
2014-07-23,145.339996,145.449997,144.529999,144.679993,131.855576,1849400
2014-07-24,145.509995,146.429993,144.470001,145.130005,132.265701,2580000
2014-07-25,145.660004,145.940002,144.589996,145.119995,132.256561,1601800
2014-07-28,144.919998,145.630005,143.779999,145.529999,132.630219,2002200
2014-07-29,145.220001,146.270004,143.990005,144.020004,131.254105,2286600
2014-07-30,144.259995,144.779999,143.520004,143.740005,130.998901,2458400
2014-07-31,143.330002,143.550003,140.600006,140.889999,128.401520,3571100
2014-08-01,140.149994,141.039993,139.080002,140.110001,127.690681,2505800
2014-08-04,140.149994,140.979996,139.210007,140.750000,128.273926,2494500
2014-08-05,140.619995,141.119995,139.339996,139.779999,127.389938,2168500
2014-08-06,139.139999,139.940002,138.429993,139.550003,127.180344,2679000
2014-08-07,140.050003,140.369995,138.960007,139.130005,126.797562,1892500
2014-08-08,139.300003,140.889999,138.889999,140.850006,128.365097,2702600
2014-08-11,140.929993,141.500000,140.539993,140.580002,128.119003,1919100
2014-08-12,140.619995,141.210007,140.429993,140.880005,128.392426,2176100
2014-08-13,141.350006,141.830002,140.919998,141.800003,129.230865,3104300
