Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,96.809998,97.029999,96.260002,96.410004,84.665535,2925800
2014-01-03,96.900002,97.029999,96.500000,96.540001,84.779686,2965300
2014-01-06,96.620003,96.620003,95.519997,95.849998,84.173759,5022700
2014-01-07,96.379997,97.080002,96.129997,96.379997,84.639175,4881800
2014-01-08,95.550003,95.709999,95.000000,95.410004,83.787338,7669800
2014-01-09,96.239998,96.349998,95.250000,95.459999,83.831261,7709000
2014-01-10,95.830002,96.220001,95.639999,95.800003,84.129845,5512200
2014-01-13,95.830002,95.830002,94.589996,94.830002,83.278000,5753200
2014-01-14,94.809998,95.400002,94.800003,95.220001,83.620491,3842200
2014-01-15,95.489998,95.669998,95.150002,95.459999,83.831261,3560600
2014-01-16,95.400002,96.300003,95.190002,96.059998,84.358170,5058000
2014-01-17,96.019997,96.129997,94.769997,94.930000,83.365837,5975300
2014-01-21,95.360001,95.959999,95.010002,95.080002,83.497543,6462700
2014-01-22,95.070000,95.320000,94.690002,94.879997,83.321907,4976400
2014-01-23,94.550003,95.949997,94.500000,95.320000,83.708305,7146000
2014-01-24,94.730003,95.959999,94.389999,94.430000,82.926727,6944800
2014-01-27,94.290001,94.680000,93.919998,94.070000,82.610596,6607600
2014-01-28,94.330002,94.639999,94.099998,94.180000,82.707199,3682800
2014-01-29,93.959999,94.300003,92.870003,93.150002,81.802666,8013500
2014-01-30,93.389999,94.000000,92.930000,93.800003,82.373482,4987400
2014-01-31,93.050003,94.550003,92.949997,94.169998,82.698410,5972500
2014-02-03,94.540001,94.739998,92.910004,93.019997,81.688499,6904700
2014-02-04,92.860001,93.470001,92.589996,93.089996,81.749977,6300400
2014-02-05,92.800003,93.839996,92.220001,93.580002,82.180275,4958900
2014-02-06,93.870003,95.190002,93.690002,94.940002,83.374611,5356900
2014-02-07,95.089996,95.949997,94.620003,95.919998,84.235229,6591200
2014-02-10,95.750000,95.930000,94.519997,94.860001,83.304359,6968200
2014-02-11,95.059998,95.839996,94.830002,95.339996,83.725868,5343500
2014-02-12,95.440002,95.669998,94.790001,94.889999,83.330704,4268900
2014-02-13,94.690002,95.580002,94.500000,95.459999,83.831261,3617900
2014-02-14,95.300003,95.970001,95.110001,95.779999,84.112274,3532900
2014-02-18,96.029999,96.570000,95.540001,96.019997,84.323036,5454200
2014-02-19,95.779999,96.660004,95.459999,95.550003,83.910324,4505500
2014-02-20,95.660004,96.110001,95.489998,95.750000,84.085930,2975000
2014-02-21,96.040001,97.000000,96.040001,96.449997,84.700661,5284300
2014-02-24,96.430000,96.940002,96.239998,96.500000,84.744568,4472200
2014-02-25,96.459999,96.720001,95.889999,96.620003,84.849960,4233600
2014-02-26,96.629997,96.739998,95.709999,95.889999,84.208878,4265900
2014-02-27,95.239998,95.410004,94.650002,95.080002,84.208878,4179600
2014-02-28,95.110001,95.459999,94.860001,95.150002,84.270874,5104700
2014-03-03,94.239998,94.800003,94.000000,94.320000,83.535782,5149300
2014-03-04,95.250000,95.269997,94.860001,94.980003,84.120323,4655200
2014-03-05,95.339996,95.610001,94.940002,95.019997,84.155746,3913300
2014-03-06,95.059998,95.669998,94.750000,95.580002,84.651703,4362900
2014-03-07,95.739998,95.790001,94.970001,95.500000,84.580856,3724000
2014-03-10,95.260002,95.680000,94.970001,95.199997,84.315140,4388900
2014-03-11,95.940002,98.919998,95.709999,98.779999,87.485832,16354400
2014-03-12,98.410004,99.070000,98.150002,98.709999,87.423843,6701700
2014-03-13,98.900002,98.900002,97.010002,97.370003,86.237045,5480200
2014-03-14,97.330002,97.889999,97.010002,97.580002,86.423042,5510700
2014-03-17,98.139999,98.199997,97.459999,97.599998,86.440742,5554300
2014-03-18,97.800003,97.989998,97.220001,97.309998,86.183907,3269500
2014-03-19,97.269997,97.290001,95.779999,96.099998,85.112244,5556900
2014-03-20,95.940002,96.949997,95.809998,96.599998,85.555084,4242600
2014-03-21,97.220001,97.400002,95.470001,95.470001,84.554298,12625800
2014-03-24,96.089996,96.739998,95.989998,96.180000,85.183113,6393000
